,Sl. No.,Depot,Route No.,From,To,Route Length,Type,No.of Service,Departure Timings,Fare
170,171,MDU,157UD,CHENNAI,USILAMPATTI,505,ULTRA,2,"20.00,20.30",906
171,172,NGP,335UD,CHENNAI,VEDARANYAM,374,ULTRA,6,"07.45,08.15,09.00,19.45,20.45, 21.00",670
172,173,DGL,151UD,CHENNAI,VEDASANDUR,446,ULTRA,1,21.3,227
173,174,NGP,324AC,CHENNAI,VELANKANNI,338,A/C,2,"11.00,22.30",841
174,175,NGP,324UD,CHENNAI,VELANKANNI,338,ULTRA,18,"05.45,06.30,07.45,08.15,08.45, 09.45,10.30,11.30,17.30,19.30 , 20.00,20.30,21.00,21.30,22.00, 22.15,22.30,22.45,",326
175,176,TNVA,182UD,CHENNAI,VIRUDHUNAGAR,510,ULTRA,1,17.3,723
176,177,KKD,282TU,CHENNAI (TVTR),KANYAKUMARI,740,ULTRA,1,16.3,884
177,178,PDY,308UD,CHENNAI (TVTR),POOMBUHAR,299,ULTRA,1,21,153
178,179,PDY,803UD,CHENNAI (TVTR),PUDUCHERRY,195,ULTRA,1,5,963
179,180,TCN,191TU,CHENNAI (TVTR),TIRUCHENDUR,676,ULTRA,1,17.3,388
180,181,PDY,324TU,CHENNAI (TVTR),VELANKANNI,360,ULTRA,1,20.15,917
181,182,CC,843CU,CHIDAMBARAM,BANGALORE,377,ULTRA,1,20,408
182,183,PDY,300UD,CHIDAMBARAM,CHENNAI,247,ULTRA,3,"04.00,22.00,22.30",516
183,184,CBE,479UD,COIMBATORE,ARANI-TIRUPATHI,536,ULTRA,1,21,718
184,185,MDU,838TU,COIMBATORE,BANGALORE,377,ULTRA,2,"22.15,22.15 ",125
185,186,CBE,838UD,COIMBATORE,BANGALORE,377,ULTRA,8,"09.00,09.30,10.00,20.30,21.15, 22.00,22.30,22.45",247
186,187,CBE,460AC,COIMBATORE,CHENNAI,510,A/C,2,"21.00,22.00",554
187,188,CBE,460UD,COIMBATORE,CHENNAI,510,ULTRA,10,"17.30,18.30,19.30,20.00,20.30, 21.05,21.15,21.30,22.00,22.30",437
188,189,CBE,471UD,COIMBATORE,CHENNAI,510,ULTRA,1,18,623
189,190,CBE,603UD,COIMBATORE,DEVAKOTTAI,288,ULTRA,2,"09.30,22.30",604
190,191,CBE,662UD,COIMBATORE,KUTTAM,472,ULTRA,1,20.15,497
191,192,MAR,664CU,COIMBATORE,MARTHANDAM,497,ULTRA,1,19.45,486
192,193,NGL,664TU,COIMBATORE,NAGERCOIL,367,ULTRA,2,"19.15,22.15",525
193,194,PDY,839UD,COIMBATORE,PUDUCHERRY,404,ULTRA,1,21.3,501
194,195,PDY,841UD,COIMBATORE,PUDUCHERRY,388,ULTRA,1,20.3,882
195,196,PDY,842UD,COIMBATORE,PUDUCHERRY,396,ULTRA,1,21,397
196,197,CBE,636UD,COIMBATORE,RAMESWARAM,402,ULTRA,1,21.3,436
197,198,SHN,629UK,COIMBATORE,SANKARANKOIL,344,ULTRA,1,20.45,559
198,199,CBE,626EU,COIMBATORE,SATTAN KULAM,447,ULTRA,1,19.3,859
199,200,SHN,629UD,COIMBATORE,SHENCOTTAH,392,ULTRA,3,"06.45,20.15,21.15",842
200,201,TNVA,665UD,COIMBATORE,THYSAYANVILAI,468,ULTRA,1,18,239
201,202,TNVA,631UD,COIMBATORE,TIRUCHENDUR,408,ULTRA,1,22,758
202,203,TNVA,626UD,COIMBATORE,TIRUNELVELI,389,ULTRA,3,"21.00,21.30,22.30",436
203,204,CBE,962UD,COIMBATORE,TIRUPATHI,503,ULTRA,3,"18.30,19.30,20.15",535
204,205,TCN,625UD,COIMBATORE,TUTICORIN,370,ULTRA,1,21.3,558
205,206,CBE,632UD,COIMBATORE,UDANKUDI,428,ULTRA,1,19.15,983
206,207,CBE,724UD,COIMBATORE,VELANKANNI,384,ULTRA,1,21,359
207,208,CBE,460VU,COIMBATORE,VILLUPURAM,348,ULTRA,2,"11.00,22.15",480
208,209,MDU,875UD,CUMBAM,BANGALORE,503,ULTRA,1,19,557
209,210,CA,164UD,CUMBAM,CHENNAI,546,ULTRA,5,"18.00,18.30,19.00,19.30,20.00",555
210,211,PDY,136UD,DEVAKOTTAI,CHENNAI,444,ULTRA,1,20.15,220
211,212,CBE,603UD,DEVAKOTTAI,COIMBATORE,288,ULTRA,2,"08.00,21.00",627
212,213,DGL,435UD,DHARAPURAM,CHENNAI,463,ULTRA,1,19.3,357
213,214,CC,420AC,DHARMAPURI,CHENNAI,328,A/C,2,"09.00,22.00",193
214,215,DGL,875T,DINDIGUL,BANGALORE,387,ULTRA,1,20.3,483
215,216,DGL,132AC,DINDIGUL,CHENNAI,428,A/C,1,20.15,950
216,217,DGL,132UD,DINDIGUL,CHENNAI,428,ULTRA,4,"10.00,20.05,20.30,21.30",588
217,218,CB,791UD,ERNAKULAM,CHENNAI,712,ULTRA,1,14.3,716
218,219,MDU,726UD,ERNAKULAM,MADURAI,332,ULTRA,2,"08.16,20.31",389
219,220,PDY,790UD,ERNAKULAM,PUDUCHERRY,606,ULTRA,1,16,933
220,221,SLM,729UD,ERNAKULAM,SALEM,371,ULTRA,5,"06.30,07.30,19.00,19.45,20.30",750
221,222,SHN,730UD,ERNAKULAM,SHENCOTTAH,575,ULTRA,1,20,463
222,223,TNVA,736TU,ERNAKULAM,TIRUNELVELI,328,ULTRA,2,"07.45,21.00",173
223,224,TCN,736UD,ERNAKULAM,TUTICORIN,381,ULTRA,2,"06.30,20.00",229
224,225,NGP,770UD,ERNAKULAM,VELANKANNI,586,ULTRA,1,17,553
225,226,SLM,837UD,ERODE,BANGALORE,262,ULTRA,1,22.3,386
226,227,CB,430AC,ERODE,CHENNAI,427,A/C,1,21,518
227,228,CBE,430UD,ERODE,CHENNAI,407,ULTRA,1,21.3,248
228,229,MAR,668UD,ERODE,MARTHANDAM,486,ULTRA,1,19.3,593
229,230,TNVA,624UD,ERODE,UDANKUDI,456,ULTRA,1,20.3,260
230,231,CB,169UD,ERUVADI,CHENNAI,573,ULTRA,1,15,856
231,232,TNJ,126GU,GANDARVAKOTTAI,CHENNAI,417,ULTRA,1,20.45,281
232,233,CA,432UD,GOBI,CHENNAI,449,ULTRA,1,19.3,173
233,234,KKD,664EU,GUDALORE (OODY),KANYAKUMARI,632,ULTRA,1,13,109
234,235,CB,465UD,GUDALORE (OOTY),CHENNAI,616,ULTRA,1,13.3,983
235,236,CB,785UD,GURUVAYUR,CHENNAI,663,ULTRA,1,14,964
236,237,MDU,708UD,GURUVAYUR,MADURAI,309,ULTRA,2,"08.45,20.00",586
237,238,SLM,724UD,GURUVAYUR,SALEM,331,ULTRA,5,"07.00,08.30,10.00,20.30,22.00",589
238,239,TCN,739UD,GURUVAYUR,TUTICORIN,450,ULTRA,1,17,284
239,240,HSR,421UD,HOSUR,CHENNAI,318,ULTRA,11,"08.00,09.00,09.40,10.00,10.30, 11.00,11.30,12.00,13.00,14.00, 21.30",275
240,241,HSR,772UD,HOSUR,KOLLAM,690,ULTRA,1,16.3,552
241,242,SHN,646UD,HOSUR,SHENCOTTAH,591,ULTRA,1,17,375
242,243,CB,199UD,IDAYANKUDI,CHENNAI,705,ULTRA,1,16,250
243,244,TRY,121UD,ILUPPUR,CHENNAI,371,ULTRA,1,21,885
244,245,CC,834UD,KALPAKKAM,CHENNAI,89,ULTRA,2,"06.30,19.30",682
245,246,CBE,471UD,KALPAKKAM,COIMBATORE,485,ULTRA,1,18.3,118
246,247,KKD,848UD,KALPAKKAM,KANYAKUMARI,680,ULTRA,1,18,566
247,248,CB,175UD,KAMUDHI,CHENNAI,527,ULTRA,1,17.15,180
248,249,KKD,888UD,KANYAKUMARI,BANGALORE,720,ULTRA,2,"16.45,17.30",298
249,250,KKD,282UD,KANYAKUMARI,CHENNAI,718,ULTRA,5,"13.45,16.30,17.00,18.45,19.30",559
250,251,KKD,282TU,KANYAKUMARI,CHENNAI (TVTR),740,ULTRA,1,14.45,631
251,252,KKD,664EU,KANYAKUMARI,GUDALORE (OODY),632,ULTRA,1,16.15,853
252,253,KKD,848UD,KANYAKUMARI,KALPAKKAM,680,ULTRA,1,17,322
253,254,KKD,638UD,KANYAKUMARI,KODAIKANAL,387,ULTRA,1,20.15,759
254,255,KKD,663UD,KANYAKUMARI,OOTY,718,ULTRA,2,"15.00,18.30",928
255,256,KKD,664KU,KANYAKUMARI,OOTY,578,ULTRA,1,17.3,403
256,257,KKD,520UD,KANYAKUMARI,RAMESWARAM,321,ULTRA,2,"07.30,19.00",615
257,258,KKD,561UD,KANYAKUMARI,VELANKANNI,529,ULTRA,1,19.3,875
258,259,KKD,283UD,KANYAKUMARI,VELLORE,684,ULTRA,2,"14.00,15.00",792
259,260,SLM,857TU,KARAIKUDI,BANGALORE,449,ULTRA,1,20.3,889
260,261,KKDI,857UD,KARAIKUDI,BANGALORE,449,ULTRA,1,19.3,855
261,262,KKDI,133UD,KARAIKUDI,CHENNAI,428,ULTRA,7,"08.30,09.30,19.00,19.30,20.00, 20.45,21.00",980
262,263,KKDI,969UD,KARAIKUDI,TIRUPATHI,526,ULTRA,1,17.3,489
263,264,MAR,298UD,KARUNGAL,CHENNAI,727,ULTRA,1,14.5,854
264,265,SLM,840UD,KARUR,BANGALORE,311,ULTRA,1,22,240
265,266,CA,429AC,KARUR,CHENNAI,385,A/C,1,20.45,281
266,267,SLM,856UD,KARUR,TIRUPATHI,437,ULTRA,1,20.3,650
267,268,SLM,796UD,KARUR,TRIVANDRUM,459,ULTRA,1,20.3,692
268,269,TNVA,181UD,KAZHUGUMALAI,CHENNAI,582,ULTRA,1,19,983
269,270,PDY,144UD,KEERAMANGALAM,CHENNAI,429,ULTRA,1,20.3,535
270,271,CB,165UD,KEEZHAKARAI,CHENNAI,541,ULTRA,2,"17.00,18.00",350
271,272,DGL,876UD,KODAIKANAL,BANGALORE,484,ULTRA,1,17.3,754
272,273,DGL,461UD,KODAIKANAL,CHENNAI,525,ULTRA,1,18.3,260
273,274,KKD,638UD,KODAIKANAL,KANYAKUMARI,387,ULTRA,1,9,818
274,275,HSR,772UD,KOLLAM,HOSUR,690,ULTRA,1,15,170
275,276,SHN,777UD,KOLLAM,VELANKANNI,541,ULTRA,1,16.15,885
276,277,MAR,280UD,KOLLENCODE,CHENNAI,755,ULTRA,1,14.4,544
277,278,CC,781UD,KOTTARAKARA,CHENNAI,700,ULTRA,1,15,338
278,279,TRY,780UD,KOTTARAKARA,TRICHY,369,ULTRA,2,"08.00,20.30",453
279,280,TNVB,180TU,KOVILPATTI,CHENNAI,559,ULTRA,1,18.3,953
280,281,SLM,782UD,KOZHICODE,SALEM,362,ULTRA,1,19.3,848
281,282,SHN,784UD,KOZHICODE,SHENCOTTAH,560,ULTRA,1,19.3,114
282,283,TCN,743EU,KOZHICODE,TIRUCHENDUR,557,ULTRA,1,20,386
283,284,MAR,287UD,KULASEKARAM,CHENNAI,734,ULTRA,1,15.3,190
284,285,TCN,193TU,KULASEKARAPATTI,CHENNAI,667,ULTRA,1,17.3,147
285,286,TRY,126TU,KULATHUR,CHENNAI,362,ULTRA,1,19.3,730
286,287,KKM,843TU,KUMBAKONAM,BANGALORE,467,ULTRA,1,19.3,866
287,288,KKM,844UD,KUMBAKONAM,BANGALORE,438,ULTRA,2,"19.00,20.00",205
288,289,KKM,303UD,KUMBAKONAM,CHENNAI,307,ULTRA,18,"02.05,05.15,06.05,09.15,12.15, 13.05,13.45,14.30,15.15,18.05, 20.00,21.45,22.15,22.30,22.45, 23.01,23.15 ,23.50",549
289,290,KKM,307UD,KUMBAKONAM,CHENNAI,327,ULTRA,13,"06.15,08.45,10.30,11.30,12.30, 14.10,20.10,20.15,20.55,21.15, 21.50,22.05,22.20",913
290,291,KKM,851KU,KUMBAKONAM,TIRUPATHI,392,ULTRA,2,"07.00,19.45 ",940
291,292,MDU,875KU,KUMILI,BANGALORE,527,ULTRA,1,18.3,283
292,293,CB,172UD,KUMILI,CHENNAI,570,ULTRA,1,16.3,544
293,294,CB,189UD,KUTTAM,CHENNAI,706,ULTRA,1,15,216
294,295,CBE,662UD,KUTTAM,COIMBATORE,472,ULTRA,1,19,910
295,296,MDU,846UD,MADURAI,BANGALORE,461,ULTRA,4,"06.00,19.00,20.30,21.30",297
296,297,MDU,137AC,MADURAI,CHENNAI,459,A/C,3,"09.00,20.30,21.00",572
297,298,MDU,137UD,MADURAI,CHENNAI,459,ULTRA,35,"04.00,05.30,06.15,07.00,07.45, 08.30,09.15,10.00,10.45,11.30, 13.00,14.30,16.00,16.45,17.30, 18.15,18.30,19.00,19.15,19.45, 20.00,20.15,20.45,21.15,21.20, 21.30,21.45,21.50,22.00,22.15, 22.30,22.45,23.00,23.15,23.30",899
298,299,MDU,726UD,MADURAI,ERNAKULAM,332,ULTRA,2,"9.00,21.00",700
299,300,MDU,708UD,MADURAI,GURUVAYUR,309,ULTRA,2,"7.00,20.30",189
300,301,MDU,847UD,MADURAI,PUDUCHERRY,337,ULTRA,1,21.05,642
301,302,MDU,966TU,MADURAI,TIRUPATHI,522,ULTRA,1,16,318
302,303,MDU,966UD,MADURAI,TIRUPATHI,529,ULTRA,2,"18.40,20.00",739
303,304,PDY,148UD,MANALMELKUDI,CHENNAI,456,ULTRA,1,19,699
304,305,TRY,122UD,MANNACHANALLUR,CHENNAI,313,ULTRA,1,20.3,427
305,306,CA,322UD,MANNARKUDI,CHENNAI,346,ULTRA,2,"08.00,21.00",280
306,307,MAR,892UD,MARTHANDAM,BANGALORE,741,ULTRA,2,"13.30,19.30",330
307,308,MAR,284UD,MARTHANDAM,CHENNAI,728,ULTRA,8,"13.00,14.10,15.00,15.30,16.30, 16.40,17.30,18.00",194
308,309,MAR,296UD,MARTHANDAM,CHENNAI,739,ULTRA,1,14.2,778
309,310,MAR,664CU,MARTHANDAM,COIMBATORE,497,ULTRA,1,20,817
310,311,MAR,668UD,MARTHANDAM,ERODE,486,ULTRA,1,18,728
311,312,MAR,664MU,MARTHANDAM,OOTY,588,ULTRA,1,19,970
312,313,MAR,669UD,MARTHANDAM,OOTY,600,ULTRA,1,18.3,157
313,314,MAR,560CU,MARTHANDAM,VELANKANNI,557,ULTRA,1,18,625
314,315,MAR,560EU,MARTHANDAM,VELANKANNI,524,ULTRA,2,"16.45,18.30",992
315,316,MAR,297UD,MARTHANDAM,VELLORE,700,ULTRA,1,16,460
316,317,MAR,143UD,MARTHANDAM,VILLUPURAM,566,ULTRA,1,19,172
317,318,PDY,308UD,MAYILADUTHURAI,CHENNAI,287,ULTRA,1,20.3,210
318,319,KKDI,155UD,MEEMISAL-TONDI-,CHENNAI,479,ULTRA,1,18.3,780
319,320,MDU,147UD,MELUR,CHENNAI,430,ULTRA,1,21,123
320,321,CBE,462UD,METTUPALAYAM,CHENNAI,547,ULTRA,1,18.15,580
321,322,TNJ,843UD,MYLADUTHURAI,BANGALORE,427,ULTRA,1,20,451
322,323,PDY,304UD,MYLADUTHURAI,CHENNAI,287,ULTRA,4,"07.30,08.30,22.00,22.45",624
